Timestamp (s),Player_Name,X_Pitch (m),Y_Pitch (m),Speed (km/h),Heart_Rate (bpm),Acceleration_m/s2
630.0,Lucas Gabriel (Volante),59.95,28.18,10.4,157,4.7
630.1,Lucas Gabriel (Volante),64.22,30.82,4.4,154,-16.48
630.2,Lucas Gabriel (Volante),66.34,39.28,0.0,143,-12.3
630.3,Lucas Gabriel (Volante),79.44,24.48,7.4,162,20.57
630.4,Lucas Gabriel (Volante),65.26,46.66,7.7,158,0.72
630.5,Lucas Gabriel (Volante),54.85,41.04,11.1,154,9.44
630.6,Lucas Gabriel (Volante),67.18,42.95,14.4,160,9.23
630.7,Lucas Gabriel (Volante),56.89,42.41,8.9,154,-15.14
630.8,Lucas Gabriel (Volante),54.0,51.7,4.2,148,-13.13
630.9,Lucas Gabriel (Volante),62.55,44.19,9.0,158,13.38
631.0,Lucas Gabriel (Volante),68.45,42.79,9.6,161,1.69
631.1,Lucas Gabriel (Volante),55.7,43.57,8.1,152,-4.27
631.2,Lucas Gabriel (Volante),61.6,24.76,5.3,147,-7.66
631.3,Lucas Gabriel (Volante),62.49,40.45,16.9,165,32.12
631.4,Lucas Gabriel (Volante),49.6,44.17,12.2,161,-13.19
631.5,Lucas Gabriel (Volante),43.47,39.81,11.5,164,-1.81
631.6,Lucas Gabriel (Volante),47.5,54.59,1.8,143,-26.98
631.7,Lucas Gabriel (Volante),68.96,26.54,4.1,153,6.4
631.8,Lucas Gabriel (Volante),55.32,32.91,2.9,147,-3.44
631.9,Lucas Gabriel (Volante),52.96,34.7,7.8,153,13.81
632.0,Lucas Gabriel (Volante),59.71,40.86,13.7,164,16.27
632.1,Lucas Gabriel (Volante),68.81,34.17,8.2,156,-15.25
632.2,Lucas Gabriel (Volante),50.57,27.76,7.7,162,-1.42
632.3,Lucas Gabriel (Volante),43.72,38.36,2.4,150,-14.85
632.4,Lucas Gabriel (Volante),67.79,48.9,10.2,155,21.81
632.5,Lucas Gabriel (Volante),61.84,48.92,7.0,162,-8.78
632.6,Lucas Gabriel (Volante),48.45,32.18,13.4,170,17.65
632.7,Lucas Gabriel (Volante),56.89,35.9,5.8,149,-21.0
632.8,Lucas Gabriel (Volante),49.66,30.91,8.3,152,6.73
632.9,Lucas Gabriel (Volante),65.37,29.71,6.6,152,-4.54
633.0,Lucas Gabriel (Volante),66.52,44.47,7.6,151,2.6
633.1,Lucas Gabriel (Volante),62.74,29.3,11.8,165,11.8
633.2,Lucas Gabriel (Volante),57.89,45.42,4.3,154,-20.99
633.3,Lucas Gabriel (Volante),60.5,57.53,8.2,158,11.06
633.4,Lucas Gabriel (Volante),52.09,44.21,8.8,156,1.6
633.5,Lucas Gabriel (Volante),52.77,44.79,11.5,163,7.36
633.6,Lucas Gabriel (Volante),59.01,48.22,7.5,154,-11.12
633.7,Lucas Gabriel (Volante),54.51,35.65,13.2,163,15.84
633.8,Lucas Gabriel (Volante),55.82,43.63,0.9,145,-34.02
633.9,Lucas Gabriel (Volante),43.08,44.14,10.8,161,27.58
634.0,Lucas Gabriel (Volante),64.33,33.23,8.9,160,-5.35
634.1,Lucas Gabriel (Volante),50.24,17.33,12.9,160,10.98
634.2,Lucas Gabriel (Volante),43.59,29.54,4.9,151,-22.23
634.3,Lucas Gabriel (Volante),51.92,29.69,15.8,168,30.28
634.4,Lucas Gabriel (Volante),56.77,45.32,14.5,166,-3.64
634.5,Lucas Gabriel (Volante),74.04,22.77,7.1,148,-20.32
634.6,Lucas Gabriel (Volante),50.89,54.53,10.7,160,9.9
634.7,Lucas Gabriel (Volante),60.24,55.79,4.6,150,-16.96
634.8,Lucas Gabriel (Volante),60.53,47.19,11.5,158,19.08
634.9,Lucas Gabriel (Volante),43.52,34.5,5.7,155,-16.15
635.0,Lucas Gabriel (Volante),59.69,21.68,10.2,163,12.71
635.1,Lucas Gabriel (Volante),56.78,48.25,5.0,153,-14.56
635.2,Lucas Gabriel (Volante),56.17,34.04,13.7,160,24.22
635.3,Lucas Gabriel (Volante),62.17,48.1,11.3,157,-6.75
635.4,Lucas Gabriel (Volante),69.35,43.82,16.9,175,15.74
635.5,Lucas Gabriel (Volante),51.16,36.8,9.7,164,-20.12
635.6,Lucas Gabriel (Volante),62.9,28.31,2.9,151,-18.91
635.7,Lucas Gabriel (Volante),51.32,37.67,10.1,156,20.09
635.8,Lucas Gabriel (Volante),50.04,28.34,19.2,176,25.16
635.9,Lucas Gabriel (Volante),74.37,41.86,8.1,162,-30.92
636.0,Lucas Gabriel (Volante),44.45,44.23,11.0,170,8.12
636.1,Lucas Gabriel (Volante),55.47,32.86,11.5,158,1.53
636.2,Lucas Gabriel (Volante),59.43,27.26,4.0,159,-21.03
636.3,Lucas Gabriel (Volante),53.88,54.03,10.0,152,16.88
636.4,Lucas Gabriel (Volante),59.09,34.04,11.8,168,4.95
636.5,Lucas Gabriel (Volante),48.18,41.92,11.9,161,0.24
636.6,Lucas Gabriel (Volante),43.07,45.59,7.4,158,-12.51
636.7,Lucas Gabriel (Volante),53.67,34.09,5.3,148,-5.89
636.8,Lucas Gabriel (Volante),58.86,33.43,6.0,158,2.06
636.9,Lucas Gabriel (Volante),57.27,56.29,8.0,153,5.51
637.0,Lucas Gabriel (Volante),60.39,32.27,9.5,155,4.0
637.1,Lucas Gabriel (Volante),48.39,51.31,3.7,155,-16.1
637.2,Lucas Gabriel (Volante),51.63,37.56,13.2,159,26.52
637.3,Lucas Gabriel (Volante),56.46,43.4,12.5,160,-1.94
637.4,Lucas Gabriel (Volante),48.39,35.71,19.0,179,18.0
637.5,Lucas Gabriel (Volante),56.97,38.42,10.2,161,-24.41
637.6,Lucas Gabriel (Volante),57.21,56.04,8.3,160,-5.35
637.7,Lucas Gabriel (Volante),60.71,46.8,2.9,147,-14.85
637.8,Lucas Gabriel (Volante),58.12,27.27,2.9,143,-0.04
637.9,Lucas Gabriel (Volante),40.89,31.23,4.8,151,5.32
638.0,Lucas Gabriel (Volante),71.44,42.61,3.9,148,-2.69
638.1,Lucas Gabriel (Volante),40.08,45.17,7.1,153,8.91
638.2,Lucas Gabriel (Volante),45.51,47.51,6.0,153,-3.0
638.3,Lucas Gabriel (Volante),58.78,37.16,13.4,166,20.65
638.4,Lucas Gabriel (Volante),61.25,33.19,11.1,158,-6.39
638.5,Lucas Gabriel (Volante),56.03,36.24,11.6,164,1.25
638.6,Lucas Gabriel (Volante),55.57,22.32,2.6,153,-25.01
638.7,Lucas Gabriel (Volante),55.41,55.14,9.1,160,18.25
638.8,Lucas Gabriel (Volante),61.76,14.46,2.4,154,-18.65
638.9,Lucas Gabriel (Volante),50.19,39.9,11.4,166,24.86
639.0,Lucas Gabriel (Volante),51.85,23.77,6.1,157,-14.74
639.1,Lucas Gabriel (Volante),54.01,36.87,3.7,148,-6.6
639.2,Lucas Gabriel (Volante),66.77,44.04,7.3,159,9.93
639.3,Lucas Gabriel (Volante),61.1,18.54,6.4,154,-2.28
639.4,Lucas Gabriel (Volante),63.32,43.9,11.9,168,15.24
639.5,Lucas Gabriel (Volante),70.48,46.81,6.8,161,-14.21
639.6,Lucas Gabriel (Volante),65.34,39.06,9.1,162,6.34
639.7,Lucas Gabriel (Volante),62.64,65.5,5.3,153,-10.43
639.8,Lucas Gabriel (Volante),69.12,22.46,6.9,156,4.27
639.9,Lucas Gabriel (Volante),48.34,22.88,5.0,153,-5.32
640.0,Lucas Gabriel (Volante),56.83,35.96,7.5,153,7.07
640.1,Lucas Gabriel (Volante),66.55,41.54,11.1,157,9.95
640.2,Lucas Gabriel (Volante),41.46,38.62,10.3,163,-2.16
640.3,Lucas Gabriel (Volante),51.92,50.39,14.3,163,11.0
640.4,Lucas Gabriel (Volante),64.04,29.0,3.6,151,-29.51
640.5,Lucas Gabriel (Volante),57.82,27.14,8.5,156,13.38
640.6,Lucas Gabriel (Volante),62.26,35.24,6.7,151,-4.79
640.7,Lucas Gabriel (Volante),42.08,51.72,9.3,156,7.25
640.8,Lucas Gabriel (Volante),52.95,47.39,9.5,168,0.3
640.9,Lucas Gabriel (Volante),63.35,39.8,5.4,150,-11.39
641.0,Lucas Gabriel (Volante),48.87,35.67,10.1,157,13.28
641.1,Lucas Gabriel (Volante),66.7,38.51,8.4,154,-4.76
641.2,Lucas Gabriel (Volante),60.09,40.76,14.4,167,16.55
641.3,Lucas Gabriel (Volante),51.75,39.59,3.2,148,-30.97
641.4,Lucas Gabriel (Volante),60.36,29.19,6.7,148,9.52
641.5,Lucas Gabriel (Volante),62.79,25.91,14.2,172,20.98
641.6,Lucas Gabriel (Volante),60.44,36.12,9.8,150,-12.25
641.7,Lucas Gabriel (Volante),62.14,45.99,5.3,149,-12.47
641.8,Lucas Gabriel (Volante),43.78,30.08,8.7,156,9.52
641.9,Lucas Gabriel (Volante),75.09,41.52,1.4,150,-20.47
642.0,Lucas Gabriel (Volante),79.88,23.66,11.5,159,28.19
642.1,Lucas Gabriel (Volante),71.91,40.78,5.5,150,-16.62
642.2,Lucas Gabriel (Volante),58.55,31.89,9.1,159,10.01
642.3,Lucas Gabriel (Volante),57.98,21.67,9.6,157,1.41
642.4,Lucas Gabriel (Volante),56.5,39.26,7.8,151,-5.04
642.5,Lucas Gabriel (Volante),64.18,28.16,1.3,151,-18.17
642.6,Lucas Gabriel (Volante),67.54,35.67,7.7,159,17.9
642.7,Lucas Gabriel (Volante),52.01,45.29,1.0,150,-18.7
642.8,Lucas Gabriel (Volante),59.43,45.57,15.3,168,39.6
642.9,Lucas Gabriel (Volante),70.05,23.93,7.8,156,-20.85
643.0,Lucas Gabriel (Volante),58.07,45.7,5.4,158,-6.62
643.1,Lucas Gabriel (Volante),58.14,42.84,0.6,142,-13.21
643.2,Lucas Gabriel (Volante),69.91,36.42,11.4,164,29.84
643.3,Lucas Gabriel (Volante),66.68,27.73,10.7,161,-1.85
643.4,Lucas Gabriel (Volante),62.36,38.34,8.2,157,-6.85
643.5,Lucas Gabriel (Volante),49.84,56.0,8.7,152,1.4
643.6,Lucas Gabriel (Volante),47.1,43.0,5.7,149,-8.51
643.7,Lucas Gabriel (Volante),51.49,48.09,5.8,161,0.48
643.8,Lucas Gabriel (Volante),54.38,32.35,13.8,168,22.26
643.9,Lucas Gabriel (Volante),62.07,33.37,7.4,151,-17.78
644.0,Lucas Gabriel (Volante),56.3,28.37,10.4,153,8.11
644.1,Lucas Gabriel (Volante),55.19,31.37,7.4,151,-8.18
644.2,Lucas Gabriel (Volante),57.12,51.62,8.2,153,2.28
644.3,Lucas Gabriel (Volante),51.31,35.91,17.4,173,25.39
644.4,Lucas Gabriel (Volante),54.42,32.04,14.4,159,-8.23
644.5,Lucas Gabriel (Volante),75.24,42.34,11.8,169,-7.32
644.6,Lucas Gabriel (Volante),65.22,35.62,8.6,159,-8.77
644.7,Lucas Gabriel (Volante),55.0,39.45,12.2,168,9.84
644.8,Lucas Gabriel (Volante),46.29,35.96,1.9,148,-28.51
644.9,Lucas Gabriel (Volante),51.92,43.26,8.7,157,18.87
645.0,Lucas Gabriel (Volante),57.83,36.28,6.0,151,-7.51
645.1,Lucas Gabriel (Volante),68.51,27.26,11.8,160,16.06
645.2,Lucas Gabriel (Volante),58.28,48.52,12.2,164,1.18
645.3,Lucas Gabriel (Volante),58.87,56.78,13.6,166,3.94
645.4,Lucas Gabriel (Volante),70.17,42.75,8.7,153,-13.63
645.5,Lucas Gabriel (Volante),49.41,26.24,8.6,148,-0.2
645.6,Lucas Gabriel (Volante),69.93,36.66,11.4,161,7.77
645.7,Lucas Gabriel (Volante),53.68,42.18,14.1,171,7.36
645.8,Lucas Gabriel (Volante),66.81,24.5,3.3,148,-29.99
645.9,Lucas Gabriel (Volante),68.92,35.11,8.4,145,14.05
646.0,Lucas Gabriel (Volante),50.67,28.08,0.2,147,-22.76
646.1,Lucas Gabriel (Volante),57.46,30.32,12.9,163,35.42
646.2,Lucas Gabriel (Volante),66.34,45.54,6.2,150,-18.66
646.3,Lucas Gabriel (Volante),54.44,41.67,10.7,152,12.4
646.4,Lucas Gabriel (Volante),55.29,30.81,3.6,151,-19.52
646.5,Lucas Gabriel (Volante),56.17,40.12,8.7,161,13.96
646.6,Lucas Gabriel (Volante),43.07,35.91,6.9,154,-4.85
646.7,Lucas Gabriel (Volante),66.21,48.5,5.9,149,-2.78
646.8,Lucas Gabriel (Volante),49.66,22.15,12.9,155,19.3
646.9,Lucas Gabriel (Volante),38.2,34.17,5.4,163,-20.71
647.0,Lucas Gabriel (Volante),65.73,55.23,13.8,165,23.22
647.1,Lucas Gabriel (Volante),62.0,30.13,15.3,170,4.19
647.2,Lucas Gabriel (Volante),45.71,30.75,6.9,154,-23.23
647.3,Lucas Gabriel (Volante),65.1,37.25,15.8,168,24.62
647.4,Lucas Gabriel (Volante),65.15,51.57,12.7,163,-8.65
647.5,Lucas Gabriel (Volante),58.75,42.72,18.1,173,15.03
647.6,Lucas Gabriel (Volante),55.65,31.29,16.2,172,-5.19
647.7,Lucas Gabriel (Volante),56.21,40.23,9.8,161,-17.87
647.8,Lucas Gabriel (Volante),59.98,36.28,13.3,168,9.69
647.9,Lucas Gabriel (Volante),48.09,43.49,8.1,158,-14.39
648.0,Lucas Gabriel (Volante),65.13,39.82,14.4,166,17.54
648.1,Lucas Gabriel (Volante),63.38,43.68,4.4,151,-27.71
648.2,Lucas Gabriel (Volante),55.91,36.36,7.3,155,7.94
648.3,Lucas Gabriel (Volante),71.63,49.82,6.2,157,-2.85
648.4,Lucas Gabriel (Volante),56.13,37.41,7.5,148,3.55
648.5,Lucas Gabriel (Volante),69.27,32.42,7.7,158,0.45
648.6,Lucas Gabriel (Volante),59.41,47.77,9.0,157,3.65
648.7,Lucas Gabriel (Volante),63.52,44.52,11.6,162,7.31
648.8,Lucas Gabriel (Volante),55.29,31.03,9.5,160,-5.9
648.9,Lucas Gabriel (Volante),40.6,5.28,26.2,185,46.26
649.0,Lucas Gabriel (Volante),62.29,46.76,5.1,155,-58.56
649.1,Lucas Gabriel (Volante),48.46,37.41,6.4,154,3.67
649.2,Lucas Gabriel (Volante),53.26,39.32,7.2,154,2.32
649.3,Lucas Gabriel (Volante),57.5,49.74,8.6,156,3.79
649.4,Lucas Gabriel (Volante),52.79,35.14,14.0,164,14.93
649.5,Lucas Gabriel (Volante),59.18,27.61,9.3,155,-13.02
649.6,Lucas Gabriel (Volante),60.62,28.81,6.0,160,-9.03
649.7,Lucas Gabriel (Volante),48.05,58.55,11.5,160,15.06
649.8,Lucas Gabriel (Volante),58.84,51.9,9.3,150,-5.97
649.9,Lucas Gabriel (Volante),54.05,47.82,8.0,156,-3.51
650.0,Lucas Gabriel (Volante),48.52,22.95,14.5,161,17.96
650.1,Lucas Gabriel (Volante),38.59,28.8,12.1,162,-6.58
650.2,Lucas Gabriel (Volante),46.96,51.3,8.8,155,-9.34
650.3,Lucas Gabriel (Volante),59.35,41.59,8.5,156,-0.71
650.4,Lucas Gabriel (Volante),60.57,39.16,7.7,159,-2.18
650.5,Lucas Gabriel (Volante),59.95,29.59,3.5,151,-11.84
650.6,Lucas Gabriel (Volante),71.97,47.35,7.9,161,12.19
650.7,Lucas Gabriel (Volante),68.51,56.68,9.0,165,3.21
650.8,Lucas Gabriel (Volante),67.68,43.72,3.7,151,-14.79
650.9,Lucas Gabriel (Volante),65.41,34.18,4.6,151,2.48
651.0,Lucas Gabriel (Volante),59.07,54.07,18.3,173,38.09
651.1,Lucas Gabriel (Volante),59.44,42.8,15.5,164,-7.8
651.2,Lucas Gabriel (Volante),71.41,53.37,28.3,184,35.61
651.3,Lucas Gabriel (Volante),60.35,40.04,6.1,151,-61.84
651.4,Lucas Gabriel (Volante),59.85,58.89,11.2,160,14.23
651.5,Lucas Gabriel (Volante),66.86,38.43,7.3,153,-10.67
651.6,Lucas Gabriel (Volante),55.65,34.75,9.3,163,5.57
651.7,Lucas Gabriel (Volante),58.05,49.46,8.8,160,-1.47
651.8,Lucas Gabriel (Volante),45.87,39.41,7.0,153,-4.98
651.9,Lucas Gabriel (Volante),53.95,45.34,3.0,140,-11.14
652.0,Lucas Gabriel (Volante),55.01,29.36,5.7,152,7.42
652.1,Lucas Gabriel (Volante),52.68,32.55,7.4,159,4.86
652.2,Lucas Gabriel (Volante),61.55,35.49,6.5,156,-2.73
652.3,Lucas Gabriel (Volante),47.69,42.98,4.0,150,-6.86
652.4,Lucas Gabriel (Volante),69.59,31.39,15.7,166,32.42
652.5,Lucas Gabriel (Volante),42.27,48.65,11.0,160,-12.97
652.6,Lucas Gabriel (Volante),61.86,38.6,8.1,151,-7.96
652.7,Lucas Gabriel (Volante),62.1,56.29,11.6,161,9.55
652.8,Lucas Gabriel (Volante),64.95,31.08,8.0,149,-10.01
652.9,Lucas Gabriel (Volante),67.19,42.52,18.5,166,29.22
653.0,Lucas Gabriel (Volante),55.97,45.03,20.6,176,5.92
653.1,Lucas Gabriel (Volante),68.39,43.17,15.8,168,-13.4
653.2,Lucas Gabriel (Volante),50.89,39.06,13.0,159,-7.7
653.3,Lucas Gabriel (Volante),54.69,47.05,7.5,159,-15.33
653.4,Lucas Gabriel (Volante),75.03,28.37,1.3,146,-17.21
653.5,Lucas Gabriel (Volante),59.19,45.6,14.3,168,36.23
653.6,Lucas Gabriel (Volante),65.1,30.18,7.0,159,-20.32
653.7,Lucas Gabriel (Volante),62.08,36.44,9.1,155,5.78
653.8,Lucas Gabriel (Volante),64.51,41.29,10.7,155,4.45
653.9,Lucas Gabriel (Volante),39.34,47.89,11.4,159,1.83
654.0,Lucas Gabriel (Volante),59.84,28.36,29.3,185,49.84
654.1,Lucas Gabriel (Volante),57.63,55.88,5.9,153,-65.0
654.2,Lucas Gabriel (Volante),65.23,49.53,8.4,158,6.85
654.3,Lucas Gabriel (Volante),50.57,41.46,7.7,154,-1.73
654.4,Lucas Gabriel (Volante),68.71,31.36,13.3,168,15.45
654.5,Lucas Gabriel (Volante),47.31,54.7,7.7,163,-15.61
654.6,Lucas Gabriel (Volante),52.78,43.38,7.9,150,0.66
654.7,Lucas Gabriel (Volante),44.67,43.69,9.4,155,4.04
654.8,Lucas Gabriel (Volante),51.62,33.91,7.8,155,-4.33
654.9,Lucas Gabriel (Volante),58.08,43.44,9.0,155,3.22
655.0,Lucas Gabriel (Volante),68.22,35.4,4.7,153,-11.76
655.1,Lucas Gabriel (Volante),57.78,51.1,4.5,147,-0.7
655.2,Lucas Gabriel (Volante),45.1,51.43,6.7,152,6.08
655.3,Lucas Gabriel (Volante),40.83,37.02,10.3,166,10.09
655.4,Lucas Gabriel (Volante),63.74,34.37,5.5,158,-13.49
655.5,Lucas Gabriel (Volante),53.4,46.38,10.0,164,12.75
655.6,Lucas Gabriel (Volante),53.57,47.19,12.9,161,7.85
655.7,Lucas Gabriel (Volante),65.49,29.82,3.1,152,-27.25
655.8,Lucas Gabriel (Volante),58.28,39.22,5.2,156,5.92
655.9,Lucas Gabriel (Volante),55.05,63.22,3.5,146,-4.62
656.0,Lucas Gabriel (Volante),57.82,41.18,3.4,142,-0.4
656.1,Lucas Gabriel (Volante),68.7,40.71,0.2,147,-8.89
656.2,Lucas Gabriel (Volante),59.53,44.62,9.7,151,26.53
656.3,Lucas Gabriel (Volante),40.28,32.53,5.4,150,-12.02
656.4,Lucas Gabriel (Volante),50.64,49.57,9.8,152,12.15
656.5,Lucas Gabriel (Volante),56.19,46.84,12.8,164,8.39
656.6,Lucas Gabriel (Volante),64.78,48.73,5.1,160,-21.3
656.7,Lucas Gabriel (Volante),49.38,24.22,12.1,166,19.32
656.8,Lucas Gabriel (Volante),59.31,42.34,13.5,171,4.0
656.9,Lucas Gabriel (Volante),56.81,40.62,6.3,156,-20.03
657.0,Lucas Gabriel (Volante),65.37,25.06,1.1,140,-14.55
657.1,Lucas Gabriel (Volante),49.43,38.88,4.2,150,8.57
657.2,Lucas Gabriel (Volante),57.72,41.94,18.8,174,40.63
657.3,Lucas Gabriel (Volante),69.91,40.45,8.0,159,-30.02
657.4,Lucas Gabriel (Volante),65.91,38.61,13.1,168,14.1
657.5,Lucas Gabriel (Volante),63.96,37.31,9.1,155,-11.09
657.6,Lucas Gabriel (Volante),55.78,34.88,2.0,148,-19.69
657.7,Lucas Gabriel (Volante),64.29,55.91,11.0,160,25.09
657.8,Lucas Gabriel (Volante),57.58,42.96,6.5,158,-12.5
657.9,Lucas Gabriel (Volante),62.25,43.69,16.9,170,28.74
658.0,Lucas Gabriel (Volante),62.83,28.92,6.0,154,-30.11
658.1,Lucas Gabriel (Volante),54.68,37.54,15.8,169,27.16
658.2,Lucas Gabriel (Volante),71.57,36.21,15.7,170,-0.2
658.3,Lucas Gabriel (Volante),65.44,38.32,3.2,149,-34.75
658.4,Lucas Gabriel (Volante),48.35,36.64,11.8,167,23.73
658.5,Lucas Gabriel (Volante),55.1,33.97,7.6,149,-11.65
658.6,Lucas Gabriel (Volante),55.21,35.76,13.7,169,16.89
658.7,Lucas Gabriel (Volante),64.22,29.03,10.6,162,-8.43
658.8,Lucas Gabriel (Volante),50.96,43.7,9.7,160,-2.43
658.9,Lucas Gabriel (Volante),54.85,47.03,7.3,154,-6.8
659.0,Lucas Gabriel (Volante),66.28,45.34,11.3,169,11.24
659.1,Lucas Gabriel (Volante),61.62,47.06,3.4,150,-22.19
659.2,Lucas Gabriel (Volante),41.79,45.63,12.8,169,26.18
659.3,Lucas Gabriel (Volante),64.66,28.6,26.9,193,39.3
659.4,Lucas Gabriel (Volante),46.38,52.79,11.1,158,-44.11
659.5,Lucas Gabriel (Volante),53.4,46.79,5.2,152,-16.17
659.6,Lucas Gabriel (Volante),56.85,25.17,5.1,146,-0.28
659.7,Lucas Gabriel (Volante),53.09,34.74,6.4,150,3.44
659.8,Lucas Gabriel (Volante),54.23,29.12,5.4,155,-2.74
659.9,Lucas Gabriel (Volante),49.11,43.15,10.2,159,13.42
660.0,Lucas Gabriel (Volante),58.73,34.53,6.9,153,-9.07
660.1,Lucas Gabriel (Volante),43.34,38.97,7.5,165,1.45
660.2,Lucas Gabriel (Volante),52.35,54.54,7.1,154,-0.94
660.3,Lucas Gabriel (Volante),66.34,52.84,4.3,146,-7.74
660.4,Lucas Gabriel (Volante),60.99,27.67,6.8,151,6.93
660.5,Lucas Gabriel (Volante),46.47,46.23,13.4,165,18.29
660.6,Lucas Gabriel (Volante),44.81,57.04,12.3,164,-3.01
660.7,Lucas Gabriel (Volante),48.12,30.47,10.9,158,-3.86
660.8,Lucas Gabriel (Volante),39.98,50.87,15.0,164,11.19
660.9,Lucas Gabriel (Volante),58.78,39.43,6.9,152,-22.52
661.0,Lucas Gabriel (Volante),54.25,32.69,7.6,162,2.07
661.1,Lucas Gabriel (Volante),55.45,53.11,13.0,170,14.96
661.2,Lucas Gabriel (Volante),62.9,36.93,8.9,158,-11.46
661.3,Lucas Gabriel (Volante),63.75,36.14,5.3,154,-9.83
661.4,Lucas Gabriel (Volante),57.1,37.28,4.2,151,-3.04
661.5,Lucas Gabriel (Volante),56.81,48.96,5.3,150,2.94
661.6,Lucas Gabriel (Volante),49.6,50.28,14.1,169,24.46
661.7,Lucas Gabriel (Volante),55.68,32.75,9.8,153,-11.85
661.8,Lucas Gabriel (Volante),60.76,40.21,10.3,161,1.13
661.9,Lucas Gabriel (Volante),67.09,45.09,9.2,163,-2.93
662.0,Lucas Gabriel (Volante),46.69,50.45,6.2,150,-8.33
662.1,Lucas Gabriel (Volante),51.99,35.7,1.5,145,-12.95
662.2,Lucas Gabriel (Volante),55.86,53.11,2.4,139,2.45
662.3,Lucas Gabriel (Volante),43.29,48.36,13.9,162,32.0
662.4,Lucas Gabriel (Volante),59.13,31.09,12.0,170,-5.27
662.5,Lucas Gabriel (Volante),66.51,43.06,15.4,160,9.44
662.6,Lucas Gabriel (Volante),77.1,44.89,10.0,156,-14.96
662.7,Lucas Gabriel (Volante),60.68,31.03,11.8,168,4.88
662.8,Lucas Gabriel (Volante),63.23,45.83,32.8,193,58.42
662.9,Lucas Gabriel (Volante),61.38,39.88,2.6,146,-83.86
663.0,Lucas Gabriel (Volante),67.74,25.97,32.4,194,82.73
663.1,Lucas Gabriel (Volante),54.49,9.83,10.2,157,-61.86
663.2,Lucas Gabriel (Volante),61.5,60.41,9.0,155,-3.19
663.3,Lucas Gabriel (Volante),64.38,39.95,7.0,156,-5.6
663.4,Lucas Gabriel (Volante),58.97,41.35,16.2,167,25.67
663.5,Lucas Gabriel (Volante),48.87,31.59,5.6,154,-29.47
663.6,Lucas Gabriel (Volante),48.98,34.78,15.0,175,26.03
663.7,Lucas Gabriel (Volante),66.53,60.77,9.1,161,-16.38
663.8,Lucas Gabriel (Volante),57.15,61.24,1.0,147,-22.58
663.9,Lucas Gabriel (Volante),57.84,23.33,11.5,161,29.21
664.0,Lucas Gabriel (Volante),64.03,41.34,8.7,151,-7.7
664.1,Lucas Gabriel (Volante),66.46,54.71,7.3,160,-4.02
664.2,Lucas Gabriel (Volante),60.32,39.85,9.4,157,6.03
664.3,Lucas Gabriel (Volante),62.81,48.92,1.3,143,-22.52
664.4,Lucas Gabriel (Volante),53.42,37.17,9.8,153,23.44
664.5,Lucas Gabriel (Volante),64.78,46.93,9.4,159,-1.06
664.6,Lucas Gabriel (Volante),46.81,52.47,16.4,170,19.53
664.7,Lucas Gabriel (Volante),59.19,43.05,18.3,169,5.33
664.8,Lucas Gabriel (Volante),64.28,30.85,7.9,160,-29.05
664.9,Lucas Gabriel (Volante),52.54,35.24,12.9,165,14.07
665.0,Lucas Gabriel (Volante),57.78,48.04,14.4,162,3.97
665.1,Lucas Gabriel (Volante),61.72,37.61,9.4,152,-13.87
665.2,Lucas Gabriel (Volante),50.31,35.76,10.0,159,1.69
665.3,Lucas Gabriel (Volante),65.11,25.63,7.5,154,-6.93
665.4,Lucas Gabriel (Volante),60.34,31.62,26.1,185,51.71
665.5,Lucas Gabriel (Volante),44.61,32.22,13.4,168,-35.19
665.6,Lucas Gabriel (Volante),60.74,46.26,5.1,157,-23.22
665.7,Lucas Gabriel (Volante),70.91,36.75,8.0,152,8.02
665.8,Lucas Gabriel (Volante),56.49,41.88,13.2,162,14.56
665.9,Lucas Gabriel (Volante),54.35,43.04,3.5,147,-27.07
666.0,Lucas Gabriel (Volante),49.75,50.51,7.8,151,12.04
666.1,Lucas Gabriel (Volante),57.34,32.53,14.7,170,19.15
666.2,Lucas Gabriel (Volante),47.27,55.06,3.3,149,-31.59
666.3,Lucas Gabriel (Volante),67.11,22.3,7.3,159,10.93
666.4,Lucas Gabriel (Volante),63.62,35.77,3.9,150,-9.38
666.5,Lucas Gabriel (Volante),68.82,34.8,12.9,167,25.09
666.6,Lucas Gabriel (Volante),46.65,32.97,16.8,167,10.68
666.7,Lucas Gabriel (Volante),59.59,20.73,13.8,161,-8.16
666.8,Lucas Gabriel (Volante),68.08,49.91,10.5,162,-9.32
666.9,Lucas Gabriel (Volante),50.07,47.89,8.3,152,-6.14
667.0,Lucas Gabriel (Volante),59.49,45.99,12.1,160,10.67
667.1,Lucas Gabriel (Volante),48.87,33.73,11.6,163,-1.33
667.2,Lucas Gabriel (Volante),59.95,37.09,4.0,149,-21.21
667.3,Lucas Gabriel (Volante),58.69,34.34,4.6,155,1.67
667.4,Lucas Gabriel (Volante),52.84,35.47,2.7,146,-5.09
667.5,Lucas Gabriel (Volante),48.57,48.11,10.0,154,20.05
667.6,Lucas Gabriel (Volante),71.51,35.92,7.9,155,-5.74
667.7,Lucas Gabriel (Volante),54.88,32.41,11.4,151,9.78
667.8,Lucas Gabriel (Volante),64.11,41.49,13.9,164,6.96
667.9,Lucas Gabriel (Volante),60.83,38.68,10.4,155,-9.88
668.0,Lucas Gabriel (Volante),52.1,41.97,8.7,160,-4.78
